"","Year","App.","Taxon","Class","Importer","Exporter","Term","Unit","Purpose","Source","Exportation.type","Exportation.number"
"189",2020,"II","Cephalophus silvicultor","Mammalia","RU","CM","trophies","Not applied","H","W","Exported",1
"190",2020,"II","Damaliscus pygargus","Mammalia","ML","ZA","unspecified","Not applied","Not applied","Not applied","Imported",60
"191",2020,"II","Ovis cycloceros cycloceros","Mammalia","AT","PK","trophies","Not applied","H","W","Exported",1
"192",2020,"II","Ovis cycloceros cycloceros","Mammalia","DE","PK","trophies","Not applied","H","W","Exported",1
"193",2020,"II","Ovis cycloceros cycloceros","Mammalia","SE","PK","trophies","Not applied","H","W","Exported",1
"194",2020,"II","Ovis cycloceros cycloceros","Mammalia","US","PK","trophies","Not applied","H","W","Exported",3
"195",2020,"II","Ovis punjabiensis","Mammalia","AT","PK","trophies","Not applied","H","W","Exported",1
"196",2020,"II","Ovis punjabiensis","Mammalia","DE","PK","trophies","Not applied","H","W","Exported",1
"197",2020,"II","Ovis punjabiensis","Mammalia","ES","PK","trophies","Not applied","H","W","Exported",3
"198",2020,"II","Ovis punjabiensis","Mammalia","IT","PK","trophies","Not applied","H","W","Exported",2
"199",2020,"II","Ovis punjabiensis","Mammalia","RU","PK","trophies","Not applied","H","W","Exported",3
"200",2020,"II","Ovis punjabiensis","Mammalia","US","PK","trophies","Not applied","H","W","Exported",5
"201",2020,"II","Philantomba monticola","Mammalia","ES","CM","trophies","Not applied","H","W","Exported",1
"202",2020,"II","Philantomba monticola","Mammalia","MX","CM","trophies","Not applied","H","W","Exported",1
"203",2020,"II","Philantomba monticola","Mammalia","RU","CM","skulls","Not applied","H","W","Exported",1
"204",2020,"II","Philantomba monticola","Mammalia","RU","CM","trophies","Not applied","H","W","Exported",1
"205",2020,"II","Philantomba monticola","Mammalia","US","CM","trophies","Not applied","H","W","Exported",1
"206",2020,"II","Cacatua alba","Aves","TT","BB","live","Not applied","T","C","Imported",2
"207",2020,"II","Cacatua alba","Aves","UA","MD","live","Not applied","Q","C","Exported",1
"208",2020,"II","Cacatua ducorpsii","Aves","SG","LK","live","Not applied","T","C","Exported",6
"209",2020,"II","Cacatua galerita","Aves","LK","PH","live","Not applied","B","C","Imported",4
"210",2020,"II","Cacatua ophthalmica","Aves","LK","PH","live","Not applied","B","C","Imported",4
"211",2020,"II","Eolophus roseicapilla","Aves","LK","PH","live","Not applied","B","C","Imported",4
"212",2020,"II","Eolophus roseicapilla","Aves","TR","IQ","live","Not applied","P","F","Exported",1
"213",2020,"II","Canis lupus","Mammalia","MD","RU","live","Not applied","Z","C","Imported",2
"214",2020,"II","Canis lupus","Mammalia","PL","BY","specimens","Not applied","S","W","Exported",31
"215",2020,"II","Carcharhinus falciformis","Elasmobranchii","HK","LK","fins","kg","T","W","Exported",55097.2
"216",2020,"II","Carcharhinus falciformis","Elasmobranchii","HK","LK","skins","kg","T","W","Exported",55700
"217",2020,"II","Carcharhinus falciformis","Elasmobranchii","IT","CV","specimens","Not applied","S","W","Exported",1
"218",2020,"II","Carcharhinus falciformis","Elasmobranchii","NZ","LK","bodies","kg","T","W","Exported",180
"219",2020,"II","Carcharhinus falciformis","Elasmobranchii","SG","LK","fins","kg","T","W","Exported",2100
"220",2020,"II","Carcharhinus longimanus","Elasmobranchii","HK","LK","fins","kg","T","W","Exported",1500
"221",2020,"II","Euphyllia cristata","Anthozoa","LK","AU","live","Not applied","B","C","Imported",300
"222",2020,"II","Euphyllia paraancora","Anthozoa","LK","AU","live","Not applied","B","C","Imported",300
"223",2020,"II","Saimiri sciureus","Mammalia","MD","RU","live","Not applied","Z","C","Imported",3
"224",2020,"II","Cercocebus chrysogaster","Mammalia","CD","ZW","live","Not applied","L","I","Imported",11
"225",2020,"II","Cercopithecus hamlyni","Mammalia","TG","CD","live","Not applied","T","W","Exported",9
"226",2020,"II","Cercopithecus kandti","Mammalia","TG","CD","live","Not applied","T","W","Exported",4
"227",2020,"II","Cercopithecus lhoesti","Mammalia","CD","ZW","live","Not applied","L","I","Imported",2
"228",2020,"II","Cercopithecus neglectus","Mammalia","AF","CD","live","Not applied","T","W","Exported",5
"229",2020,"II","Cercopithecus nictitans","Mammalia","AE","CD","live","Not applied","T","W","Exported",10
"230",2020,"II","Cercopithecus nictitans","Mammalia","AF","CD","live","Not applied","T","W","Exported",5
"231",2020,"II","Cercopithecus nictitans","Mammalia","CD","ZW","live","Not applied","L","I","Imported",5
"232",2020,"II","Cercopithecus wolfi","Mammalia","AF","CD","live","Not applied","T","W","Exported",5
"233",2020,"II","Colobus guereza","Mammalia","US","ET","trophies","Not applied","H","W","Exported",2
"234",2020,"II","Erythrocebus patas","Mammalia","US","CM","trophies","Not applied","H","W","Exported",1
"235",2020,"II","Lophocebus albigena","Mammalia","CD","ZW","live","Not applied","L","I","Imported",2
"236",2020,"II","Lophocebus aterrimus","Mammalia","AF","CD","live","Not applied","T","W","Exported",5
"237",2020,"II","Macaca nemestrina","Mammalia","UA","BY","live","Not applied","Q","C","Exported",2
"238",2020,"II","Macaca nemestrina","Mammalia","UA","BY","live","Not applied","Q","C","Exported",1
"239",2020,"II","Macaca nemestrina","Mammalia","UA","BY","live","Not applied","Q","C","Exported",1
"240",2020,"II","Papio anubis","Mammalia","CZ","CM","trophies","Not applied","H","W","Exported",1
"241",2020,"II","Papio anubis","Mammalia","DE","CM","trophies","Not applied","H","W","Exported",1
"242",2020,"II","Papio anubis","Mammalia","ES","CM","trophies","Not applied","H","W","Exported",2
"243",2020,"II","Papio anubis","Mammalia","FR","CM","trophies","Not applied","H","W","Exported",3
"244",2020,"II","Papio anubis","Mammalia","IT","CM","trophies","Not applied","H","W","Exported",1
"245",2020,"II","Papio anubis","Mammalia","LU","CM","trophies","Not applied","H","W","Exported",1
"246",2020,"II","Papio anubis","Mammalia","RU","CM","skulls","Not applied","H","W","Exported",1
"247",2020,"II","Papio anubis","Mammalia","RU","CM","trophies","Not applied","H","W","Exported",3
"248",2020,"II","Papio anubis","Mammalia","SZ","CM","trophies","Not applied","H","W","Exported",2
"249",2020,"II","Papio anubis","Mammalia","US","CM","trophies","Not applied","H","W","Exported",5
"250",2020,"II","Papio hamadryas","Mammalia","US","ET","trophies","Not applied","H","W","Exported",1
"251",2020,"II","Papio ursinus","Mammalia","FI","ZA","skulls","Not applied","H","W","Imported",2
"252",2020,"II","Papio ursinus","Mammalia","FI","ZA","trophies","Not applied","H","W","Imported",1
"253",2020,"II","Theropithecus gelada","Mammalia","US","ET","specimens","mg","S","W","Exported",50
"254",2020,"II","Theropithecus gelada","Mammalia","US","ET","specimens","Not applied","S","W","Exported",225
"255",2020,"II","Furcifer willsii","Reptilia","JP","MG","live","Not applied","T","W","Exported",5
"256",2020,"II","Rhampholeon spectrum","Reptilia","ES","CM","live","Not applied","T","W","Exported",150
"257",2020,"II","Rhampholeon spectrum","Reptilia","US","CM","live","Not applied","T","W","Exported",150
"258",2020,"II","Trioceros cristatus","Reptilia","CA","CM","live","Not applied","T","W","Exported",10
"259",2020,"II","Trioceros cristatus","Reptilia","ES","CM","live","Not applied","T","W","Exported",260
"260",2020,"II","Trioceros cristatus","Reptilia","GB","CM","live","Not applied","T","W","Exported",10
"261",2020,"II","Trioceros cristatus","Reptilia","JP","CM","live","Not applied","T","W","Exported",32
"262",2020,"II","Trioceros cristatus","Reptilia","VN","CM","live","Not applied","T","W","Exported",80
"263",2020,"II","Trioceros johnstoni","Reptilia","US","CD","live","Not applied","T","W","Exported",500
"264",2020,"II","Trioceros oweni","Reptilia","JP","CM","live","Not applied","T","W","Exported",17
"265",2020,"II","Trioceros oweni","Reptilia","VN","CM","live","Not applied","T","W","Exported",20
"266",2020,"II","Trioceros serratus","Reptilia","CA","CM","live","Not applied","T","W","Exported",62
"267",2020,"II","Trioceros serratus","Reptilia","JP","CM","live","Not applied","T","W","Exported",16
"268",2020,"II","Ptyas mucosus","Reptilia","US","CO","leather products (small)","Not applied","T","W","Exported",1
"269",2020,"II","Goura victoria","Aves","LK","PH","live","Not applied","B","C","Imported",2
"270",2020,"II","Crocodylus niloticus","Reptilia","CH","MG","leather products (small)","Not applied","Q","C","Exported",55
"271",2020,"II","Crocodylus niloticus","Reptilia","FI","ZA","rug","Not applied","H","W","Imported",2
"272",2020,"II","Crocodylus niloticus","Reptilia","MO","FR","leather products (small)","Not applied","T","R","Imported",4
"273",2020,"II","Crocodylus niloticus","Reptilia","MO","IT","leather products (small)","Not applied","T","C","Imported",1
"274",2020,"II","Crocodylus niloticus","Reptilia","MO","IT","leather products (small)","Not applied","T","C","Imported",22
"275",2020,"II","Crocodylus niloticus","Reptilia","XX","MW","live","Not applied","N","W","Exported",3420
"276",2020,"II","Crocodylus porosus","Reptilia","MO","FR","leather products (small)","Not applied","T","R","Imported",31
"277",2020,"II","Duncanopsammia axifuga","Anthozoa","LK","AU","live","Not applied","B","C","Imported",400
"278",2020,"II","Duncanopsammia axifuga","Anthozoa","LK","VN","live","Not applied","B","C","Imported",1500
"279",2020,"II","Duncanopsammia axifuga","Anthozoa","LK","VN","live","Not applied","T","C","Imported",20
"280",2020,"II","Caulastraea curvata","Anthozoa","LK","VN","live","Not applied","T","C","Imported",10
"281",2020,"II","Caulastraea furcata","Anthozoa","LK","VN","live","Not applied","B","C","Imported",1500
"282",2020,"II","Leptailurus serval","Mammalia","LT","CM","trophies","Not applied","H","W","Exported",1
"283",2020,"II","Leptailurus serval","Mammalia","MD","RU","live","Not applied","Z","C","Imported",2
"284",2020,"II","Panthera leo","Mammalia","FI","ZA","trophies","Not applied","H","C","Imported",5
"285",2020,"II","Panthera leo","Mammalia","RU","CM","trophies","Not applied","H","W","Exported",2
"286",2020,"II","Panthera leo","Mammalia","SZ","CM","trophies","Not applied","H","W","Exported",1
"287",2020,"II","Galago moholi","Mammalia","TH","CD","live","Not applied","T","W","Exported",120
"288",2020,"II","Otolemur crassicaudatus","Mammalia","TG","CD","live","Not applied","T","W","Exported",50
"289",2020,"II","Otolemur crassicaudatus","Mammalia","TH","CD","live","Not applied","T","W","Exported",65
"290",2020,"II","Giraffa camelopardalis","Mammalia","ML","SN","unspecified","Not applied","Not applied","Not applied","Imported",6
"291",2020,"II","Giraffa camelopardalis","Mammalia","ML","ZA","unspecified","Not applied","Not applied","Not applied","Imported",9
"292",2020,"II","Giraffa camelopardalis","Mammalia","MW","ZW","live","Not applied","N","W","Imported",4
"293",2020,"II","Glaucostegus spp.","Elasmobranchii","SG","LK","fins","kg","T","W","Exported",500
